,proportion_non_ai,proportion_ai,proportion_ai_ai
s004,1.0,1.0,1.0
s005,1.0,1.0,1.0
s006,1.0,1.0,1.0
s007,1.0,1.0,1.0
s008,1.0,1.0,0.9875
s009,1.0,1.0,1.0
s010,1.0,1.0,1.0
s011,1.0,1.0,1.0
s012,1.0,1.0,1.0
s013,1.0,1.0,1.0
s014,1.0,1.0,1.0
s015,1.0,0.95,0.9375
s016,1.0,1.0,0.9875
s017,1.0,1.0,1.0
s018,1.0,1.0,1.0
s019,1.0,1.0,1.0
s020,1.0,1.0,1.0
s021,1.0,1.0,1.0
s022,1.0,1.0,1.0
s023,1.0,1.0,1.0
s024,1.0,1.0,1.0
s025,1.0,1.0,1.0
s026,1.0,1.0,1.0
s027,1.0,0.9,0.925
s028,1.0,1.0,0.9875
s029,1.0,1.0,1.0
s030,1.0,1.0,1.0
s031,1.0,1.0,1.0
s032,1.0,1.0,1.0
s033,1.0,1.0,1.0
s034,1.0,1.0,1.0
s035,1.0,1.0,1.0
s036,1.0,1.0,1.0
s037,0.99,1.0,1.0
s038,1.0,1.0,1.0
s039,1.0,1.0,0.7625
s040,1.0,1.0,1.0
s041,1.0,1.0,1.0
s042,1.0,1.0,1.0
s043,1.0,1.0,0.9875
mean,0.99975,0.9962499999999999,0.9893750000000001
