,non_ai_ball_after_ring_proportion_before_stop_onset,ai_ball_after_ring_proportion_before_stop_onset,ai_ai_ball_after_ring_proportion_before_stop_onset
s004,0.0,0.0,0.0
s005,0.0,0.0,0.0
s006,0.0,0.0,0.0
s007,0.0,0.0,0.0
s008,0.0,0.0,0.00020491803278688525
s009,0.0,0.0,0.0
s010,0.0,0.0,0.0
s011,0.0,0.0,0.0
s012,0.0,0.0,0.0
s013,0.0,0.0,0.0
s014,0.0,0.0,0.0
s015,0.0,0.0,0.0
s016,0.003666100446456373,0.0,0.0
s017,0.0,0.0,0.0
s018,0.0,0.0,0.0
s019,0.0,0.0,0.0
s020,0.0,0.0,0.0
s021,0.0014285714285714286,0.0,0.0015251322562269153
s022,0.0,0.0,0.0
s023,0.0,0.0,0.0
s024,0.0,0.0,0.0
s025,0.0,0.0,0.0
s026,0.0,0.0,0.0
s027,0.0,0.0,0.0
s028,0.0,0.0,0.0
s029,0.0,0.0,0.0
s030,0.0,0.00041322314049586776,0.0018954663771477895
s031,0.0,0.0,0.0
s032,0.0,0.0,0.0
s033,0.0,0.0,0.0
s034,0.0,0.0,0.0
s035,0.0008045977011494253,0.0033073929961089494,0.00577165961185347
s036,0.0,0.0,0.0
s037,0.0,0.0,0.0
s038,0.0,0.0,0.0
s039,0.0,0.0,0.0
s040,0.0,0.0,0.0
s041,0.001167883211678832,0.0,0.0
s042,0.0,0.0,0.0
s043,0.0,0.0,0.0
mean,0.00017667881969640149,9.301540341512043e-05,0.0002349294069503765
