,non_ai_go_task_accuracy_before_stop_onset,ai_go_task_accuracy_before_stop_onset,ai_ai_go_task_accuracy_before_stop_onset
s004,0.7619552983993243,0.7686658564874165,0.8898344767896372
s005,0.9419249638699622,0.9510629864191381,0.9187067524698328
s006,0.9486065058018103,0.9911877394636015,0.9881917401106785
s007,0.7938876946943202,0.8522474486538062,0.8656745941102958
s008,0.9043939962960262,0.99,0.8815207604022577
s009,0.7434872471302585,0.8007146271908223,0.8643469628801537
s010,0.9262217688949402,0.9614530289727832,0.9489899598172871
s011,0.8735344298762888,0.9818992579908675,0.9879188671467724
s012,0.8887599033687988,0.8696862554470067,0.900582175436152
s013,0.6506929160959392,0.8332013411534479,0.8151102611734142
s014,0.8342162351622244,0.8196712916549916,0.8187566911961778
s015,0.9648692376920563,0.8610808687197575,0.8695528508558368
s016,0.9052395487935222,0.956395444116683,0.8426873637058975
s017,0.9192456903937604,0.8096115733006177,0.8676615987051874
s018,0.8931080174811085,0.7489620000327111,0.8179616408372988
s019,0.9311232495640094,0.9831981115579647,0.9630357470153921
s020,0.8628142391670311,0.9237753680215608,0.9264572065643486
s021,0.9100129573544453,1.0,0.9860933846911724
s022,0.8062110435036167,0.9559017510352357,0.884497696577071
s023,0.8964356860948505,0.9822344077094408,0.9023255571939378
s024,0.962300707519113,0.9801841508905351,0.9121306053530983
s025,0.7918907557111793,0.9244592022699477,0.8917642933273313
s026,0.863431108339761,0.9188920983270193,0.9525081533640141
s027,0.9350542071282808,0.9189213564213564,0.9304818633887717
s028,0.8969936684753046,0.9232094228729091,0.8917060708117187
s029,0.800443685846283,0.8120098164232914,0.892402192727656
s030,0.7247632103732474,0.9106981721446177,0.8666121245209538
s031,0.9167926412077498,0.8946910228212366,0.8833440875515342
s032,0.9764094582638227,0.9658536585365853,0.9865790625919313
s033,0.8304730422770794,0.8652566499955741,0.9101984857111327
s034,0.9693371309693507,1.0,0.9362582835469393
s035,0.9256043299199359,0.9514545117657958,0.9679357910239211
s036,0.7960158674311486,0.8975406441202178,0.8915178373261166
s037,0.7457624197589223,0.7854166959564117,0.9128349061229812
s038,0.7167315066420311,0.8785939586722481,0.8154960331390917
s039,0.9454850291212432,1.0,0.9618723806299453
s040,0.9209452613097046,0.8524585803198377,0.9481824177043763
s041,0.8198644363682499,0.8379803988829275,0.8349803652524566
s042,0.9864936177673562,1.0,0.9874137572057062
s043,0.7903890509751911,0.6702699493701307,0.8263882729670357
mean,0.8667980441259813,0.9007209911929623,0.9035128317986378
