,non_ai_ssrt_second_half,ai_ssrt_second_half,ai_ai_ssrt_second_half
s004,0.26243982277810574,0.3037998263413707,0.3022767972005041
s005,0.24364729635417462,0.2521527443702023,0.2590571981119482
s006,0.2813381360471249,0.2986793683634864,0.3474938554189554
s007,0.28378213062882424,0.32918347294131917,0.400567990897054
s008,0.25924561798572543,0.29700346179306514,0.3404404745461085
s009,0.26390943735837946,0.3139072049409151,0.31685668528079985
s010,0.2743322848528624,0.3055121697485446,0.3000408712774515
s011,0.24270195670425893,0.2750915247946978,0.2828564095310867
s012,0.25706956028938294,0.2691006107399097,0.2771252355462796
s013,0.32305811636149884,0.3110889603312199,0.3671874341529769
s014,0.3148459652811289,0.28208737969398495,0.307031518407166
s015,0.359177737608552,0.33762760799039493,0.37668624422267866
s016,0.32263568937778475,0.31180782541632646,0.4464691748412756
s017,0.2474177149683237,0.31976252468302846,0.33601609528774307
s018,0.2558929392695427,0.3588958214968443,0.3170189270306201
s019,0.2516855899244547,0.2531710444018245,0.2904674647642033
s020,0.2728387001901865,0.28225225806236265,0.2974271926097572
s021,0.3264327385276556,0.4019706067111757,0.4179895081352897
s022,0.28614581145346163,0.2850712375207381,0.3305140318205723
s023,0.27767403565347193,0.33028673008084297,0.3226626217365265
s024,0.251605554446578,0.2553457925096154,0.27214320607128595
s025,0.2924700603634119,0.3127319914373485,0.3348862897509184
s026,0.245967308729887,0.25767900591546833,0.2562537479859132
s027,0.28501683101058006,0.32339046336710453,0.4836649720091373
s028,0.2759811341762543,0.3368136271834373,0.3279640985652804
s029,0.28090514078736306,0.38622687570750713,0.33223869154850644
s030,0.3202682217955589,0.39032432933648425,0.4547372903478773
s031,0.2637656229734421,0.26294104754924774,0.3403737065759865
s032,0.2293015444278717,0.2638407283359104,0.2722190340481153
s033,0.30970730945467945,0.33072120882570744,0.35310447216033936
s034,0.24069411933422089,0.2777126627889546,0.2837569726965366
s035,0.27069540321826935,0.31707438992129433,0.2998526399818862
s036,0.32345173209905625,0.3536279058704774,0.36660130204338776
s037,0.26778084541461905,0.2801712889756476,0.28835936757021174
s038,0.31314215913414956,0.3258610972099834,0.2929044634830661
s039,0.25501530975103376,0.2682394403964281,0.5439550124574453
s040,0.23977732107043268,0.26511547863483426,0.28151042219251393
s041,0.34371093317866325,0.28461524782081443,0.31714608932012006
s042,0.25407499134540557,0.28076671287417415,0.2887465789914131
s043,0.26937459707260136,0.26673064782069283,0.2754669010236457
mean,0.2784744355349744,0.3039595580725847,0.33255177474106457
