subject_id,average_score,total_score,I trust artificial intelligence.,"More vehicles, software, and appliances should make use of AI.",I trust companies that do not use AI over companies that do.,I would prefer to drive a self-driving car over a regular car.,I trust a self driving car to drive safer than I would normally.,I believe that increased use of artificial intelligence will make the world a safer place.,AI is making our daily lives easier.
s004,2.142857142857143,15,2.0,2.0,2.0,2.0,3.0,1.0,3.0
s005,3.0,21,4.0,3.0,3.0,2.0,3.0,3.0,3.0
s006,2.7142857142857144,19,2.0,2.0,3.0,2.0,4.0,3.0,3.0
s007,3.4285714285714284,24,3.0,4.0,4.0,5.0,2.0,2.0,4.0
s008,4.0,28,4.0,4.0,3.0,4.0,4.0,4.0,5.0
s009,3.142857142857143,22,3.0,4.0,4.0,2.0,2.0,3.0,4.0
s010,1.8571428571428572,13,1.0,3.0,2.0,1.0,1.0,3.0,2.0
s011,1.5714285714285714,11,1.0,1.0,3.0,2.0,1.0,1.0,2.0
s012,2.4285714285714284,17,2.0,4.0,3.0,2.0,1.0,1.0,4.0
s013,3.4285714285714284,24,2.0,4.0,4.0,4.0,3.0,3.0,4.0
s014,3.5714285714285716,25,4.0,2.0,3.0,4.0,5.0,2.0,5.0
s015,3.2857142857142856,23,2.0,4.0,3.0,3.0,4.0,3.0,4.0
s016,3.2857142857142856,23,4.0,4.0,2.0,2.0,3.0,4.0,4.0
s017,2.2857142857142856,16,3.0,2.0,2.0,1.0,1.0,3.0,4.0
s018,3.5714285714285716,25,4.0,4.0,3.0,2.0,4.0,3.0,5.0
s019,3.2857142857142856,23,3.0,3.0,3.0,2.0,5.0,3.0,4.0
s020,3.5714285714285716,25,4.0,4.0,2.0,4.0,4.0,4.0,3.0
s021,3.142857142857143,22,3.0,4.0,3.0,2.0,3.0,3.0,4.0
s022,3.4285714285714284,24,4.0,2.0,3.0,4.0,4.0,3.0,4.0
s023,1.4285714285714286,10,1.0,1.0,1.0,2.0,2.0,1.0,2.0
s024,4.285714285714286,30,4.0,5.0,3.0,5.0,4.0,4.0,5.0
s025,2.857142857142857,20,3.0,3.0,4.0,2.0,3.0,2.0,3.0
s026,2.857142857142857,20,4.0,4.0,2.0,4.0,2.0,2.0,2.0
s027,3.0,21,3.0,4.0,2.0,2.0,2.0,4.0,4.0
s028,3.5714285714285716,25,4.0,5.0,3.0,2.0,2.0,4.0,5.0
s029,3.2857142857142856,23,2.0,5.0,4.0,3.0,2.0,3.0,4.0
s030,2.0,14,1.0,1.0,5.0,1.0,1.0,1.0,4.0
s031,2.0,14,2.0,2.0,2.0,1.0,1.0,3.0,3.0
s032,2.5714285714285716,18,2.0,3.0,4.0,1.0,2.0,2.0,4.0
s033,4.857142857142857,34,5.0,5.0,5.0,5.0,5.0,4.0,5.0
s034,2.5714285714285716,18,2.0,4.0,3.0,2.0,2.0,2.0,3.0
s035,3.5714285714285716,25,3.0,4.0,4.0,3.0,2.0,4.0,5.0
s036,2.857142857142857,20,4.0,2.0,3.0,2.0,2.0,3.0,4.0
s037,4.0,28,4.0,4.0,3.0,5.0,5.0,3.0,4.0
s038,3.5714285714285716,25,4.0,4.0,4.0,3.0,2.0,4.0,4.0
s039,2.4285714285714284,17,2.0,2.0,1.0,1.0,1.0,5.0,5.0
s040,2.857142857142857,20,2.0,4.0,2.0,2.0,2.0,4.0,4.0
s041,3.857142857142857,27,5.0,4.0,2.0,3.0,4.0,4.0,5.0
s042,2.4285714285714284,17,3.0,3.0,3.0,1.0,1.0,2.0,4.0
s043,3.7142857142857144,26,3.0,4.0,4.0,4.0,2.0,4.0,5.0
